code,period,midpoint,basin,Raw SEC,Smooth SEC,dH
1993-1998-09,1993/09 - 1998/09,1996-03-31 00:17:45.234375,3,0.04,0.039,0.8998342379927635
1993-1998-09,1993/09 - 1998/09,1996-03-31 00:17:45.234375,4,0.062,0.063,1.0825177039951086
1993-1998-09,1993/09 - 1998/09,1996-03-31 00:17:45.234375,5,0.022,0.027,-0.4066793853417039
1993-1998-09,1993/09 - 1998/09,1996-03-31 00:17:45.234375,6,-0.01,-0.001,-1.9045169339515269
1993-1998-09,1993/09 - 1998/09,1996-03-31 00:17:45.234375,7,0.137,0.134,2.18387359008193
1993-1998-09,1993/09 - 1998/09,1996-03-31 00:17:45.234375,all,0.059,0.061,0.5481604530941695
1993-1998-10,1993/10 - 1998/10,1996-04-30 00:57:32.343750,1,0.085,0.087,0.5809724940336309
1993-1998-10,1993/10 - 1998/10,1996-04-30 00:57:32.343750,2,0.095,0.109,-0.7578588481992483
1993-1998-10,1993/10 - 1998/10,1996-04-30 00:57:32.343750,3,0.04,0.039,0.9397395849227905
1993-1998-10,1993/10 - 1998/10,1996-04-30 00:57:32.343750,4,0.062,0.063,1.1449171472340822
1993-1998-10,1993/10 - 1998/10,1996-04-30 00:57:32.343750,5,0.022,0.033,-0.3851296463981271
1993-1998-10,1993/10 - 1998/10,1996-04-30 00:57:32.343750,6,-0.01,0.007,-1.914595031645149
1993-1998-10,1993/10 - 1998/10,1996-04-30 00:57:32.343750,7,0.137,0.132,2.3210042975842953
1993-1998-10,1993/10 - 1998/10,1996-04-30 00:57:32.343750,all,0.059,0.063,0.6076267964672297
1993-1998-11,1993/11 - 1998/11,1996-05-31 01:13:00.468750,1,0.09,0.088,0.6684856949723326
1993-1998-11,1993/11 - 1998/11,1996-05-31 01:13:00.468750,2,0.131,0.117,-0.644910616800189
1993-1998-11,1993/11 - 1998/11,1996-05-31 01:13:00.468750,3,0.037,0.038,0.9781875461339951
1993-1998-11,1993/11 - 1998/11,1996-05-31 01:13:00.468750,4,0.063,0.063,1.2075903192162514
1993-1998-11,1993/11 - 1998/11,1996-05-31 01:13:00.468750,5,0.051,0.039,-0.3488864405080676
