code,period,midpoint,basin,Raw SEC,Smooth SEC,dH
1992-1997-06,1992/06 - 1997/06,1994-12-29 23:55:57.421875,7,-0.046,-0.046,-0.5289016328752041
1992-1997-06,1992/06 - 1997/06,1994-12-29 23:55:57.421875,8,-0.04,-0.04,-0.4957870412617922
1992-1997-06,1992/06 - 1997/06,1994-12-29 23:55:57.421875,9,-0.108,-0.106,-1.0806700587272644
1992-1997-06,1992/06 - 1997/06,1994-12-29 23:55:57.421875,10,-0.036,-0.036,-0.3988465126603842
1992-1997-06,1992/06 - 1997/06,1994-12-29 23:55:57.421875,11,-0.059,-0.059,-0.7406276147812605
1992-1997-06,1992/06 - 1997/06,1994-12-29 23:55:57.421875,12,-0.055,-0.055,-0.7524269465357065
1992-1997-06,1992/06 - 1997/06,1994-12-29 23:55:57.421875,13,-0.066,-0.067,-0.7543967887759209
1992-1997-06,1992/06 - 1997/06,1994-12-29 23:55:57.421875,14,-0.034,-0.035,-0.5515428464859724
1992-1997-06,1992/06 - 1997/06,1994-12-29 23:55:57.421875,15,-0.265,-0.261,-2.2779141813516617
1992-1997-06,1992/06 - 1997/06,1994-12-29 23:55:57.421875,16,-0.093,-0.096,-2.0680991299450397
1992-1997-06,1992/06 - 1997/06,1994-12-29 23:55:57.421875,17,-0.146,-0.147,-2.057760439813137
1992-1997-06,1992/06 - 1997/06,1994-12-29 23:55:57.421875,18,-0.05,-0.049,-0.47807581909000874
1992-1997-06,1992/06 - 1997/06,1994-12-29 23:55:57.421875,all,-0.05,-0.05,-0.5988164022564888
1992-1997-07,1992/07 - 1997/07,1995-01-29 00:02:43.476562,1,-0.156,-0.149,-2.038926512002945
1992-1997-07,1992/07 - 1997/07,1995-01-29 00:02:43.476562,2,-0.065,-0.057,-0.6978067923337221
1992-1997-07,1992/07 - 1997/07,1995-01-29 00:02:43.476562,3,-0.033,-0.031,-0.43382603488862514
1992-1997-07,1992/07 - 1997/07,1995-01-29 00:02:43.476562,4,-0.025,-0.022,-0.3594237305223942
1992-1997-07,1992/07 - 1997/07,1995-01-29 00:02:43.476562,5,-0.044,-0.041,-0.6034443490207195
1992-1997-07,1992/07 - 1997/07,1995-01-29 00:02:43.476562,6,-0.053,-0.05,-0.7159993350505829
1992-1997-07,1992/07 - 1997/07,1995-01-29 00:02:43.476562,7,-0.046,-0.042,-0.575173232704401
1992-1997-07,1992/07 - 1997/07,1995-01-29 00:02:43.476562,8,-0.04,-0.037,-0.5353961829096079
1992-1997-07,1992/07 - 1997/07,1995-01-29 00:02:43.476562,9,-0.108,-0.108,-1.1882002875208855
1992-1997-07,1992/07 - 1997/07,1995-01-29 00:02:43.476562,10,-0.036,-0.032,-0.4351273123174906
1992-1997-07,1992/07 - 1997/07,1995-01-29 00:02:43.476562,11,-0.059,-0.054,-0.7996545676141977
1992-1997-07,1992/07 - 1997/07,1995-01-29 00:02:43.476562,12,-0.055,-0.05,-0.8074484001845121
