code,period,midpoint,basin,SEC
199209-199709,1992/09 - 1997/09,1995.2456,14,0.003340221242979169
199209-199709,1992/09 - 1997/09,1995.2456,15,-0.1481679379940033
199209-199709,1992/09 - 1997/09,1995.2456,16,0.1515180766582489
199209-199709,1992/09 - 1997/09,1995.2456,17,-0.09068956226110458
199209-199709,1992/09 - 1997/09,1995.2456,18,-0.043838970363140106
199209-199709,1992/09 - 1997/09,1995.2456,all,-0.032393396
199210-199710,1992/10 - 1997/10,1995.3276,0,-0.13173076510429382
199210-199710,1992/10 - 1997/10,1995.3276,1,-0.1203298345208168
199210-199710,1992/10 - 1997/10,1995.3276,2,-0.025178775191307068
199210-199710,1992/10 - 1997/10,1995.3276,3,-0.0217742957174778
199210-199710,1992/10 - 1997/10,1995.3276,4,-0.010639176703989506
199210-199710,1992/10 - 1997/10,1995.3276,5,-0.029862934723496437
199210-199710,1992/10 - 1997/10,1995.3276,6,-0.0337696298956871
199210-199710,1992/10 - 1997/10,1995.3276,7,-0.026257965713739395
199210-199710,1992/10 - 1997/10,1995.3276,8,-0.026176348328590393
199210-199710,1992/10 - 1997/10,1995.3276,9,-0.10854678601026535
199210-199710,1992/10 - 1997/10,1995.3276,10,-0.015392051078379154
199210-199710,1992/10 - 1997/10,1995.3276,11,-0.03358229994773865
199210-199710,1992/10 - 1997/10,1995.3276,12,-0.031212525442242622
199210-199710,1992/10 - 1997/10,1995.3276,13,-0.029390202835202217
199210-199710,1992/10 - 1997/10,1995.3276,14,0.003340221242979169
199210-199710,1992/10 - 1997/10,1995.3276,15,-0.1481679379940033
199210-199710,1992/10 - 1997/10,1995.3276,16,0.1515180766582489
199210-199710,1992/10 - 1997/10,1995.3276,17,-0.09068956226110458
199210-199710,1992/10 - 1997/10,1995.3276,18,-0.043838970363140106
199210-199710,1992/10 - 1997/10,1995.3276,all,-0.032393396
199211-199711,1992/11 - 1997/11,1995.4125,0,-0.13173076510429382
199211-199711,1992/11 - 1997/11,1995.4125,1,-0.1203298345208168
199211-199711,1992/11 - 1997/11,1995.4125,2,-0.025178775191307068
199211-199711,1992/11 - 1997/11,1995.4125,3,-0.0217742957174778
199211-199711,1992/11 - 1997/11,1995.4125,4,-0.010639176703989506
199211-199711,1992/11 - 1997/11,1995.4125,5,-0.029862934723496437
199211-199711,1992/11 - 1997/11,1995.4125,6,-0.0337696298956871
199211-199711,1992/11 - 1997/11,1995.4125,7,-0.026257965713739395
199211-199711,1992/11 - 1997/11,1995.4125,8,-0.026176348328590393
199211-199711,1992/11 - 1997/11,1995.4125,9,-0.10854678601026535
199211-199711,1992/11 - 1997/11,1995.4125,10,-0.015392051078379154
199211-199711,1992/11 - 1997/11,1995.4125,11,-0.03358229994773865
199211-199711,1992/11 - 1997/11,1995.4125,12,-0.031212525442242622
199211-199711,1992/11 - 1997/11,1995.4125,13,-0.029390202835202217
199211-199711,1992/11 - 1997/11,1995.4125,14,0.003340221242979169
199211-199711,1992/11 - 1997/11,1995.4125,15,-0.1481679379940033
199211-199711,1992/11 - 1997/11,1995.4125,16,0.1515180766582489
199211-199711,1992/11 - 1997/11,1995.4125,17,-0.09068956226110458
199211-199711,1992/11 - 1997/11,1995.4125,18,-0.043838970363140106
199211-199711,1992/11 - 1997/11,1995.4125,all,-0.032393396
199212-199712,1992/12 - 1997/12,1995.4945,0,-0.13173076510429382
199212-199712,1992/12 - 1997/12,1995.4945,1,-0.1203298345208168
199212-199712,1992/12 - 1997/12,1995.4945,2,-0.025178775191307068
199212-199712,1992/12 - 1997/12,1995.4945,3,-0.0217742957174778
199212-199712,1992/12 - 1997/12,1995.4945,4,-0.010639176703989506
199212-199712,1992/12 - 1997/12,1995.4945,5,-0.029862934723496437
199212-199712,1992/12 - 1997/12,1995.4945,6,-0.0337696298956871
199212-199712,1992/12 - 1997/12,1995.4945,7,-0.026257965713739395
199212-199712,1992/12 - 1997/12,1995.4945,8,-0.026176348328590393
199212-199712,1992/12 - 1997/12,1995.4945,9,-0.10854678601026535
199212-199712,1992/12 - 1997/12,1995.4945,10,-0.015392051078379154
199212-199712,1992/12 - 1997/12,1995.4945,11,-0.03358229994773865
199212-199712,1992/12 - 1997/12,1995.4945,12,-0.031212525442242622
199212-199712,1992/12 - 1997/12,1995.4945,13,-0.029390202835202217
199212-199712,1992/12 - 1997/12,1995.4945,14,0.003340221242979169
199212-199712,1992/12 - 1997/12,1995.4945,15,-0.1481679379940033
199212-199712,1992/12 - 1997/12,1995.4945,16,0.1515180766582489
199212-199712,1992/12 - 1997/12,1995.4945,17,-0.09068956226110458
199212-199712,1992/12 - 1997/12,1995.4945,18,-0.043838970363140106
199212-199712,1992/12 - 1997/12,1995.4945,all,-0.032393396
199301-199801,1993/01 - 1998/01,1995.5795,0,-0.13173076510429382
199301-199801,1993/01 - 1998/01,1995.5795,1,-0.1203298345208168
